Sample	Tray	Weight
77	13	1.126
77	14	1.115
77	15	1.118
77	16	1.123
77	17	1.131
77	18	1.132
77	19	1.110
77	20	1.127
77	21	1.123
77	22	1.129
78	1	1.091
78	2	1.114
78	3	1.114
78	4	1.115
78	5	1.114
78	6	1.119
78	7	1.129
78	8	1.141
78	9	1.120
78	10	1.099
78	11	1.125
78	12	1.113
78	13	1.128
78	14	1.114
78	15	1.118
78	16	1.120
78	17	1.130
78	18	1.125
78	19	1.116
78	20	1.124
78	21	1.118
78	22	1.122
79	1	1.096
79	2	1.115
79	3	1.117
79	4	1.118
79	5	1.116
79	6	1.118
79	7	1.128
79	8	1.138
79	9	1.122
79	10	1.100
79	11	1.125
79	12	1.116
79	13	1.128
79	14	1.114
79	15	1.120
79	16	1.118
79	17	1.130
79	18	1.129
79	19	1.117
79	20	1.121
79	21	1.118
79	22	1.125
80	1	1.095
80	2	1.121
